Label,Domain,Type,Sim1,Sim2,Sim3,Sim4,Sim5,Range
SAT-1,satisfaction,symmetric,0.8068,0.7532,0.7108,0.7336,0.7391,0.0961
SAT-2,satisfaction,symmetric,0.7906,0.7969,0.7478,0.8005,0.7931,0.0527
SAT-3,satisfaction,symmetric,0.7805,0.7912,0.8410,0.8574,0.7965,0.0769
SAT-4,satisfaction,symmetric,0.7401,0.7468,0.6866,0.7879,0.8081,0.1215
SAT-5,satisfaction,symmetric,0.7540,0.7158,0.6946,0.7699,0.8205,0.1258
SAT-2s,satisfaction,symmetric,0.7906,0.7648,0.6798,0.7431,0.7564,0.1108
SAT-4s,satisfaction,symmetric,0.8197,0.8379,0.7832,0.8377,0.8557,0.0725
SAT-3s,satisfaction,symmetric,0.7789,0.7721,0.7318,0.7796,0.7372,0.0478
SAT-2e,satisfaction,symmetric,0.8210,0.8603,0.8331,0.8537,0.7751,0.0851
SAT-4e,satisfaction,symmetric,0.8563,0.8226,0.8040,0.8840,0.8703,0.0800
LIK-1,likelihood,symmetric,0.9004,0.8065,0.7586,0.7810,0.7897,0.1418
LIK-2,likelihood,symmetric,0.8681,0.8923,0.8417,0.8595,0.8424,0.0506
SAT-1,satisfaction,asymmetric,0.5872,0.5181,0.4674,0.4966,0.4987,0.1198
SAT-2,satisfaction,asymmetric,0.5276,0.5355,0.4579,0.5045,0.5060,0.0776
SAT-3,satisfaction,asymmetric,0.5466,0.5747,0.6580,0.6559,0.5645,0.1114
SAT-4,satisfaction,asymmetric,0.4954,0.5130,0.4610,0.5566,0.5612,0.1002
SAT-5,satisfaction,asymmetric,0.5391,0.5149,0.4785,0.5773,0.6512,0.1727
SAT-2s,satisfaction,asymmetric,0.4847,0.4527,0.3712,0.4444,0.4618,0.1135
SAT-4s,satisfaction,asymmetric,0.5540,0.5905,0.5096,0.5835,0.6189,0.1093
SAT-3s,satisfaction,asymmetric,0.4443,0.4540,0.4145,0.4716,0.4285,0.0571
SAT-2e,satisfaction,asymmetric,0.6347,0.6773,0.6627,0.6754,0.5696,0.1077
SAT-4e,satisfaction,asymmetric,0.5841,0.5681,0.5692,0.6685,0.6253,0.1005
LIK-1,likelihood,asymmetric,0.7006,0.5894,0.4947,0.5520,0.5252,0.2059
LIK-2,likelihood,asymmetric,0.7525,0.7940,0.7113,0.7525,0.6956,0.0983
